,Medu,health,Walc,Mjob,absences,studytime,age,Fedu,reason,goout
0,4,3,1,3,6,2,18,4,0,4
1,1,3,1,3,4,2,17,1,0,3
2,1,3,3,3,10,2,15,1,3,2
3,4,5,1,1,2,3,15,2,1,2
4,3,5,2,4,4,2,16,3,1,2
5,4,5,2,2,10,2,16,3,2,2
6,2,3,1,4,0,2,16,2,1,4
7,4,1,1,4,6,2,17,4,1,4
8,3,1,1,2,0,2,15,2,1,2
9,3,5,1,4,0,2,15,4,1,1
10,4,2,2,0,0,2,15,4,2,3
11,2,4,1,2,4,3,15,1,2,2
12,4,5,3,1,2,1,15,4,0,3
13,4,3,2,0,2,2,15,3,0,3
14,2,3,1,4,0,3,15,2,1,2
15,4,2,2,1,4,1,16,4,1,4
16,4,2,2,2,6,3,16,4,2,3
17,3,4,1,4,4,2,16,3,2,2
18,3,5,4,2,16,1,17,2,0,5
19,4,5,3,1,4,1,16,3,1,3
20,4,1,1,0,0,2,15,3,2,1
21,4,5,1,1,0,1,15,4,3,2
22,4,5,3,0,2,2,16,2,0,1
23,2,5,4,4,0,2,16,2,2,4
24,2,5,1,2,2,3,15,4,0,2
25,2,5,3,2,14,1,16,2,1,2
26,2,5,2,4,2,1,15,2,1,2
27,4,1,4,1,4,1,15,2,3,4
28,3,5,1,2,4,2,16,4,1,3
29,4,5,5,0,16,2,16,4,1,5
30,4,5,4,1,0,2,15,4,1,2
31,4,5,1,2,0,2,15,4,2,1
32,4,5,1,0,0,2,15,3,0,2
33,3,2,1,4,0,2,15,3,0,2
34,3,5,1,4,0,1,16,2,1,3
35,2,5,1,4,0,1,15,3,3,1
36,4,4,1,0,2,3,15,3,1,3
37,4,5,1,4,7,3,16,4,2,3
38,3,5,1,2,2,3,15,4,0,2
39,2,2,1,3,8,1,15,2,2,1
40,2,3,2,4,25,2,16,2,1,3
41,4,5,4,0,8,1,15,4,1,3
42,4,5,1,2,2,2,15,4,0,3
43,2,1,1,2,0,1,15,2,0,1
44,2,5,2,4,14,2,16,2,0,3
45,4,5,1,4,8,2,15,3,0,2
46,3,3,4,4,12,2,16,3,1,5
47,4,2,1,1,4,4,16,3,2,2
48,4,5,2,0,2,2,15,2,1,3
49,4,3,1,2,2,2,15,4,3,4
50,2,4,3,2,2,2,16,2,0,3
51,4,5,1,1,2,2,15,2,3,3
52,4,5,4,1,6,1,15,2,3,5
53,4,5,3,2,0,1,15,4,0,4
54,3,1,4,4,6,1,15,3,3,4
55,2,2,1,4,8,2,16,1,3,4
56,4,1,1,2,0,2,15,3,2,2
57,4,5,1,0,4,2,15,4,2,2
58,1,5,1,4,2,2,15,2,1,2
59,4,5,1,2,2,2,16,2,0,3
60,4,4,3,1,6,2,16,4,3,4
61,1,5,5,2,6,1,16,1,0,5
62,1,1,1,4,4,2,16,2,2,3
63,4,4,4,0,2,3,16,3,1,4
64,4,2,4,2,0,2,15,3,2,4
65,4,1,2,0,2,2,16,3,0,3
66,4,3,5,4,4,4,15,4,2,3
67,3,5,2,2,4,4,16,1,0,3
68,2,4,3,1,2,2,15,2,2,3
69,3,3,3,4,12,4,15,1,2,2
70,3,5,1,4,0,4,16,1,2,2
71,4,3,1,4,0,4,15,2,0,3
72,1,5,4,4,2,2,15,1,2,4
73,3,5,2,4,2,1,16,1,2,2
74,3,5,4,4,54,2,16,3,1,3
75,4,5,3,0,6,2,15,3,1,3
76,4,1,1,0,8,4,15,0,0,3
77,2,3,3,4,0,4,16,2,2,3
78,2,3,1,4,2,1,17,1,1,1
79,3,3,2,3,12,2,16,4,0,3
80,2,3,3,4,2,1,15,3,0,2
81,2,5,2,4,4,3,15,3,1,2
82,3,5,1,2,10,2,15,2,2,4
83,2,4,3,2,4,2,15,2,1,3
84,1,4,3,4,2,2,15,1,1,2
85,4,5,3,2,6,2,15,4,2,4
86,2,2,2,3,4,2,16,2,0,4
87,4,1,3,4,4,3,15,2,2,3
88,2,3,1,2,12,2,16,2,2,2
89,4,5,5,0,18,2,16,4,2,3
90,3,4,3,4,0,3,16,3,1,3
91,4,1,3,2,4,1,15,3,2,5
92,3,2,3,4,4,2,16,1,1,3
93,4,1,1,0,0,2,16,2,1,3
94,2,4,1,2,6,4,15,2,2,4
95,1,1,1,3,2,4,15,1,1,2
96,4,4,1,2,2,1,16,3,2,3
97,2,5,1,4,2,2,16,1,0,5
98,4,1,2,4,6,1,16,4,2,4
99,4,3,1,4,0,3,16,3,0,5
100,4,4,5,2,14,1,16,4,3,5
101,4,4,1,2,0,3,16,4,3,3
102,4,5,1,2,4,1,15,4,0,3
103,3,2,1,2,26,2,15,2,1,5
104,3,1,1,2,0,2,15,4,0,4
105,3,4,1,4,10,4,15,3,2,3
106,2,3,1,4,8,4,15,2,0,2
107,3,5,1,2,2,3,16,3,1,3
108,4,1,5,4,6,4,15,4,1,5
109,4,4,1,1,4,3,16,4,3,5
110,4,4,1,0,6,1,15,4,0,3
111,3,2,1,2,0,3,16,3,2,2
112,2,5,1,3,6,2,16,2,1,2
113,4,3,1,0,10,1,15,2,0,2
114,2,5,1,1,8,2,15,1,2,2
115,4,5,2,0,2,2,16,4,0,4
116,4,2,1,4,2,2,15,4,2,3
117,3,5,1,4,0,1,16,3,1,2
118,1,5,4,4,20,2,17,3,0,4
119,3,4,2,4,6,1,15,4,2,3
120,1,1,2,3,2,2,15,2,0,3
121,2,5,2,2,6,4,15,2,1,4
122,2,5,2,4,2,2,16,4,0,2
123,4,5,4,1,18,1,16,4,0,4
124,2,5,1,4,0,2,16,2,1,4
125,3,5,2,2,0,1,15,4,1,5
126,3,1,1,4,0,2,15,4,1,2
127,0,5,1,3,2,2,19,1,0,2
128,2,4,2,2,0,1,18,2,2,3
129,4,4,5,0,8,1,16,4,0,5
130,3,5,2,2,0,3,15,4,0,2
131,1,4,2,3,0,1,15,1,0,3
132,2,5,3,4,12,1,17,2,0,4
133,3,5,4,2,16,1,16,4,0,1
134,3,5,1,3,0,2,15,4,0,3
135,4,5,1,2,0,3,15,4,0,3
136,3,5,4,3,0,2,17,4,0,5
137,3,5,1,4,0,1,16,3,0,2
138,1,5,3,2,0,2,16,1,0,4
139,4,5,1,0,0,1,15,4,0,2
140,4,3,1,0,0,4,15,3,0,2
141,2,2,2,2,8,1,16,2,2,3
142,4,5,1,0,2,3,15,4,0,2
143,1,1,3,3,2,1,16,1,0,4
144,2,5,2,4,0,1,17,1,1,5
145,1,5,2,4,0,2,15,1,0,2
146,3,3,1,1,0,2,15,2,1,2
147,1,5,1,3,2,2,15,2,0,2
148,4,5,1,0,0,1,16,4,0,2
149,2,5,5,2,0,1,15,1,0,5
150,1,4,5,4,0,1,18,1,0,5
151,2,5,5,3,6,1,16,1,0,4
152,3,3,3,2,8,3,15,3,2,1
153,3,4,1,2,0,1,19,2,1,4
154,4,4,1,4,0,1,17,4,0,1
155,2,1,1,3,2,2,15,3,0,4
156,1,5,3,4,8,1,17,2,2,2
157,1,4,5,3,6,1,18,1,0,5
158,2,3,2,3,2,1,16,2,0,2
159,3,5,4,4,4,2,16,3,0,5
160,2,5,2,3,0,1,17,1,0,2
161,3,3,4,4,6,2,15,2,0,4
162,1,5,4,4,0,1,16,2,0,4
163,1,2,4,3,2,1,17,3,0,3
164,1,5,5,4,0,2,17,1,0,5
165,3,2,1,2,16,1,16,2,0,2
166,2,4,4,4,4,2,16,2,0,5
167,4,3,1,1,0,2,16,2,1,3
168,2,4,1,4,0,2,16,2,1,5
169,4,3,1,1,0,2,16,4,2,2
170,3,2,4,4,0,1,16,4,0,5
171,1,3,1,4,2,2,16,0,2,2
172,4,5,3,0,0,2,17,4,2,4
173,1,3,1,3,0,2,16,3,1,5
174,3,4,1,4,4,2,16,3,2,5
175,4,4,4,0,4,2,17,3,0,4
176,2,5,4,2,2,2,16,2,2,4
177,3,4,4,4,4,2,17,3,2,4
178,4,3,4,0,10,1,16,2,3,3
179,4,2,1,4,4,2,17,3,0,3
180,4,3,3,0,10,2,16,3,1,3
181,3,3,2,2,2,2,16,3,1,3
182,2,5,3,2,0,2,17,4,2,2
183,3,1,3,4,56,2,17,3,2,3
184,3,1,2,4,14,2,16,2,2,2
185,3,4,3,2,12,2,17,3,3,4
186,1,3,2,2,2,1,16,2,3,3
187,2,5,2,4,0,2,16,1,0,3
188,3,3,3,1,6,2,17,3,2,3
189,1,3,5,3,4,2,17,2,1,3
190,2,2,1,2,10,2,16,3,0,3
191,1,3,1,3,0,2,17,1,0,3
192,1,5,5,3,12,2,17,2,3,4
193,3,5,4,2,8,1,16,3,2,2
194,2,3,1,4,0,1,16,3,1,3
195,2,5,1,2,0,2,17,4,0,2
196,4,5,2,2,4,1,17,4,1,3
197,3,3,5,0,8,1,16,3,1,4
198,4,2,3,2,24,1,17,4,1,4
199,4,3,2,0,0,2,16,4,2,2
200,4,2,5,1,2,2,16,3,1,5
201,2,4,3,4,6,2,16,3,2,3
202,1,1,3,4,4,2,17,1,0,4
203,2,3,2,4,18,1,17,2,2,2
204,2,5,1,2,6,4,16,2,2,5
205,3,5,4,3,28,3,17,4,1,3
206,3,4,2,2,5,2,16,1,0,3
207,4,1,1,0,10,2,16,3,3,2
208,1,5,4,3,6,1,16,1,1,2
209,4,4,1,0,6,3,17,3,2,2
210,3,3,2,4,10,4,19,3,2,3
211,4,3,5,2,13,2,17,4,1,5
212,2,4,1,4,0,2,16,2,2,4
213,2,5,4,2,15,2,18,2,1,4
214,4,3,2,2,12,1,17,4,3,1
215,3,1,3,4,2,2,17,2,2,4
216,4,1,4,4,22,2,17,3,2,5
217,3,4,4,2,13,2,18,3,1,4
218,2,3,4,3,3,1,17,3,1,3
219,2,4,1,3,4,3,17,2,0,3
220,2,5,2,3,2,2,17,1,2,5
221,1,5,1,3,0,3,17,1,2,4
222,2,3,1,2,2,2,16,3,3,1
223,2,4,5,4,0,2,18,2,1,3
224,4,5,1,0,0,3,16,4,1,2
225,3,4,1,4,16,2,18,1,2,3
226,3,3,3,4,10,2,17,2,0,4
227,2,3,3,2,2,2,17,3,2,3
228,2,3,5,3,14,2,18,1,0,2
229,2,3,2,4,10,3,17,1,0,3
230,4,3,2,1,14,2,17,3,2,3
231,2,1,1,4,4,2,17,2,0,2
232,4,2,3,0,14,2,17,4,2,5
233,4,1,4,1,2,2,16,4,2,4
234,1,5,1,4,18,2,16,1,1,2
235,3,2,3,3,10,3,16,2,2,3
236,2,4,5,4,4,2,17,2,1,2
237,2,5,1,4,20,1,16,1,1,2
238,2,3,1,3,2,2,17,1,0,1
239,2,2,5,4,0,2,18,2,2,4
240,4,5,4,1,14,2,17,3,0,5
241,4,4,3,0,2,2,17,4,0,3
242,4,3,1,0,0,1,16,3,0,5
243,4,5,2,2,0,1,16,4,0,2
244,2,3,1,4,0,3,18,1,0,4
245,2,4,1,4,6,1,16,1,0,3
246,2,2,1,4,4,1,17,3,0,2
247,3,1,5,2,16,1,22,1,3,5
248,3,5,3,4,8,2,18,3,0,3
249,0,5,4,4,0,1,16,2,3,2
250,3,5,4,2,0,1,18,2,0,5
251,3,2,3,3,6,2,16,3,2,3
252,2,5,5,2,4,1,18,1,3,5
253,2,3,3,4,0,1,16,1,0,2
254,2,5,4,4,0,1,17,1,0,2
255,1,5,2,1,2,1,17,1,0,4
256,4,4,1,0,6,4,17,2,2,3
257,4,1,1,2,12,2,19,3,2,1
258,2,4,2,4,8,2,18,1,1,4
259,2,2,1,2,0,4,17,2,0,1
260,4,2,3,2,21,2,18,3,1,2
261,4,3,1,0,2,2,18,3,0,2
262,3,3,1,4,1,3,18,2,0,2
263,3,4,1,4,4,3,17,3,1,3
264,2,3,1,3,0,3,18,2,1,3
265,3,1,4,4,13,2,18,4,2,5
266,3,5,4,2,2,2,17,1,3,4
267,4,4,2,0,8,2,18,4,2,4
268,4,5,3,1,10,2,18,2,2,5
269,2,3,2,4,0,2,18,1,2,5
270,3,5,3,4,15,2,19,3,1,5
271,2,2,3,4,4,4,18,3,2,5
272,1,3,1,4,2,2,18,1,1,3
273,1,1,2,3,2,2,17,2,1,2
274,2,1,1,3,2,2,17,4,2,3
275,2,5,3,2,6,2,17,2,0,4
276,3,5,1,4,75,2,18,2,1,1
277,4,3,4,0,22,1,18,4,1,4
278,4,4,1,1,15,2,18,4,2,4
279,4,1,2,0,8,1,18,3,0,3
280,4,5,4,2,30,1,17,1,1,4
281,3,3,4,0,19,1,17,2,1,4
282,1,3,1,3,1,4,18,1,2,2
283,1,4,1,4,4,2,18,1,1,4
284,2,5,2,4,4,2,17,2,0,5
285,1,4,2,4,2,2,17,1,2,3
286,2,2,2,3,5,3,18,2,3,3
287,1,3,1,2,6,3,17,1,2,3
288,2,2,3,2,6,3,18,1,2,4
289,4,2,1,0,9,2,18,4,2,3
290,4,5,4,0,11,2,18,2,1,2
291,4,3,2,1,0,3,17,3,2,2
292,2,5,1,2,12,2,18,1,2,3
293,3,3,1,2,6,4,17,1,2,2
294,3,4,1,2,8,3,18,2,2,2
295,3,5,3,1,4,1,17,3,1,3
296,4,2,3,1,0,2,19,4,2,4
297,4,2,2,4,10,2,18,3,1,5
298,4,3,1,4,0,4,18,3,2,3
299,4,1,2,0,5,1,18,4,1,2
300,4,4,1,1,14,2,18,4,1,4
301,4,5,2,4,0,1,17,4,1,1
302,4,3,1,4,0,3,17,2,2,3
303,3,5,2,1,0,4,17,2,2,2
304,3,3,1,4,20,2,19,3,1,4
305,2,3,1,2,8,2,18,4,2,3
306,3,5,1,2,0,1,20,2,0,3
307,4,4,1,0,38,1,19,4,2,4
308,3,5,2,4,0,2,19,3,2,3
309,1,3,3,3,18,2,19,1,2,3
310,1,3,2,2,0,2,19,2,1,4
311,2,2,1,3,20,2,19,1,3,1
312,1,4,2,4,3,2,19,2,0,2
313,3,1,2,2,22,2,19,2,2,2
314,1,3,1,3,14,3,19,1,1,2
315,2,3,1,4,40,3,19,3,2,2
316,2,1,2,2,0,2,18,1,0,3
317,4,5,1,4,9,3,18,3,0,4
318,3,5,5,3,0,3,17,4,0,4
319,4,5,3,0,2,2,18,4,0,4
320,4,5,2,2,23,2,17,3,0,2
321,2,3,1,4,12,2,17,2,0,2
322,2,3,2,2,3,3,17,2,0,2
323,3,5,3,2,1,3,17,1,0,3
324,0,2,3,3,0,3,17,2,1,3
325,4,3,2,4,3,3,18,4,0,3
326,3,5,5,4,3,1,17,3,2,5
327,2,4,5,2,8,1,17,2,0,5
328,4,4,3,0,7,3,17,4,0,4
329,4,4,2,0,4,3,17,4,0,3
330,2,5,4,4,2,4,18,2,0,5
331,2,5,1,3,7,3,17,4,0,3
332,3,4,1,2,0,2,18,3,1,4
333,2,2,1,4,0,2,18,2,1,3
334,2,4,1,3,0,4,18,2,0,4
335,3,5,3,2,16,3,17,4,0,5
336,3,5,2,2,12,3,19,1,1,3
337,3,2,3,4,0,2,17,2,1,2
338,3,1,1,2,7,4,18,3,1,3
339,3,2,3,4,4,2,17,2,1,3
340,2,3,3,2,4,3,19,1,1,4
341,4,2,2,0,0,2,18,4,1,3
342,3,5,3,2,11,2,18,4,1,3
343,2,4,2,3,0,2,17,2,1,1
344,2,3,2,3,4,3,18,3,0,3
345,3,1,3,4,7,3,18,2,3,3
346,4,4,2,0,9,3,18,3,0,2
347,4,5,3,0,0,3,18,3,0,5
348,4,4,3,1,0,3,17,3,2,3
349,3,5,5,4,10,1,18,2,0,5
350,1,2,3,4,8,2,19,1,1,4
351,3,3,3,1,2,2,17,3,0,4
352,1,3,3,3,7,1,18,3,0,3
353,1,5,3,4,4,1,19,1,1,4
354,4,2,3,2,4,2,17,3,1,5
355,3,5,1,2,0,2,18,3,0,4
356,4,5,2,0,4,2,17,4,3,3
357,3,5,2,2,2,2,17,2,2,3
358,1,3,2,4,4,1,18,1,1,2
359,1,4,1,3,0,3,18,1,0,2
360,1,5,4,3,0,2,18,4,0,4
361,1,5,3,3,2,2,18,1,3,3
362,3,3,3,2,0,2,18,3,3,2
363,4,1,1,3,0,2,17,4,0,4
364,1,3,2,4,0,2,17,2,0,2
365,1,3,4,3,4,2,18,3,0,4
366,4,5,2,0,0,3,18,4,3,2
367,1,1,2,4,0,1,17,1,2,1
368,2,4,2,3,0,1,18,3,0,3
369,4,5,2,4,10,2,18,4,3,2
370,3,3,1,2,4,2,19,2,1,2
371,1,3,3,3,3,1,18,2,3,3
372,2,3,1,4,8,3,17,2,1,3
373,1,1,3,4,14,1,17,2,0,5
374,4,1,1,4,0,3,18,4,2,4
375,1,4,2,4,2,3,18,1,1,2
376,4,3,1,1,4,3,20,2,0,3
377,4,2,4,0,4,2,18,4,0,3
378,3,1,2,4,0,2,18,3,1,3
379,3,1,3,3,17,2,17,1,2,4
380,4,2,4,0,4,2,18,4,1,4
381,2,5,3,4,5,1,18,1,3,3
382,2,3,1,4,2,2,17,3,1,3
383,1,5,3,4,0,1,19,1,3,2
384,4,3,3,4,14,1,18,2,1,3
385,2,4,3,3,2,3,18,2,3,3
386,4,5,2,0,7,1,18,4,2,3
387,2,5,2,2,0,3,19,3,0,2
388,3,1,1,0,0,2,18,1,0,4
389,1,5,1,4,0,2,18,1,0,1
390,2,4,5,2,11,2,20,2,0,4
391,3,2,4,2,3,1,17,1,0,5
392,1,3,3,4,3,1,21,1,0,3
393,3,5,4,2,0,1,18,2,0,1
394,1,5,3,4,5,1,19,1,0,3
